Review,Rating
"I love the patterns in this book, like having 2 size blocks to choose from and the directions are very easy to read and understand.  I've made 6 blocks so far and very happy with the way they turn out",5.0
Very nice book,5.0
This was what I expected..and more! This book is chock full of ideas as well as patterns- wonderful!,5.0
"Gift for my quilting wife, who absolutely loves it.",5.0
"This book is well worth the money!  The sampler on the cover shows most of the block patterns but there are more.  The possibilities of quilts, table runners, placemats, wall hangings, and potholders are endless as there are so many patterns to choose from.  Lori Holt shows many of those ideas so if you have trouble w/ your imagination, no problem!  This is probably already my favorite quilt investment.",5.0
This book is one of the best quilting books I have ever purchased. It has so many different quilt blocks. Tons of ideas for quilts. You can make a quilt with all different blocks or make a quilt with one particular block. I am very very happy with this book.,5.0
"Screaming with delight!  Based on the cover I thought this would be a sampler quilt (which it is), but it is so much more.  The blocks are available in two sizes...there are other farm quilts in here and a lot of them.  If you are a fan of samplers this is for you.  Want chickens, chicks, tractors, kitchen bowls, cups and more...again this book is for you!",5.0
Great patterns!  Can't wait to get started!,5.0
"Love this book, full of neat projects!",5.0
gift,5.0
"Great quilt book.  It has all the blocks in it that are on the front cover.  I'm a farm girl, and this is perfect for me to make a country quilt.",5.0
Love the quilts in this book! I am a beginner quilter and love that there are small projects also. Have made a couple of the potholders and plan to try many more of the other patterns. This is a beautiful book with easy to follow directions.,5.0
I love this pattern book.,5.0
Love the book!,5.0
if you like country quilt this is the book for you,5.0
"I love the style, format and colors for the patterns in this book. I love that each block can be made in a 6"" or 12"" size. The patterns for using the made up blocks are ones I will actually make. I hate getting a book and not liking most of the patterns...this one is 100% LOVE... The spiral format is nice for being able to open to a page and leave it open. After going thru the book, I looked up the author on you tube, Love her simple ways without fancy sewing equipment. Using vintage irons, and graph paper for making new patterns. Great tutorial on making simple boards for your patchwork squares on the go, auditioning fabrics and keeping your pieces in order to bring to the sewing machine. I feel like I found a new cyber friend! I recommend this book and I am a city girl...who is country at heart.",5.0
Love it!,5.0
"Very clearly written, easy to follow directions. Nice color photos, lots of arrangements. Love this book and highly recommend it!",5.0
This book has fantastic directions and is full of inspiration for a huge variety of ways to use the blocks. I predict it will keep me engaged for some time!,5.0
"Fantastic book! Instructions, and many layout ideas",5.0
A VERY amazing quilting book. Love all the patterns doing a sew along with a ladies group extremely pleased with it.,5.0
Such good instructions and pictures great book,5.0
Looks like fun. Can't wait to get started.,5.0
I love this book! Wonderful photos and direction. And I love all the alternate projects in the back. The only thing I wish is if she would have given the total yardage needed for shashing and background for the sampler quilt.,5.0
This is going to be used for my next strip quilt. Can't wait to get started.,5.0
Already made 8 blocks! Great directions; very cute blocks; All pieces fit together as expected;,5.0
"Too little time; too many quilts to make
Great book.  Buy it.  We can always say we are going to do all the blocks.",5.0
"A quilter can't have too many books.. I swore I'd never buy more until I saw this one. Love the fact she has blocks in two sizes and I have to admit, it was the adorable chicken block that sold me. Love the spiral binding. Just fun to look through. Very clear directions, even for this quilter who is marginally ""directionally challenged"". It's got table runners too. fantastic book.",5.0
Can't wait to start on the quilt. Nice spiral bound book!,5.0
Fun patterns. Easy to understand directions. I would not recommend for beginners as some blocks require many pieces and could be a challenge.  Super fun quilts will be made from this book. I love that the blocks come in two sizes as well.,5.0
"Wonderful book! Haven't made anything yet, but pictures and instructions seem great! Collecting fabric...",5.0
"I am new to quilting. Just started in May, 2015. I got a little ambitious and thought I'd try my hand at following the quilt along with Lori Holt through this book. I gotta say, I had a ball making every block in this book, with the exception of 2 of them I haven't made yet. I made the 6 inch blocks, and even for a newbie, they weren't very complicated thanks to the awesome instructions and visuals! It's been 6 months since I started quilting and I gained lots of experience by doing the blocks in this book!  You will not regret purchasing Farm Girl Vintage!!",5.0
"I love traditional and modern quilts and I feel like this book does a great job of combining the two with some new, fun quilt patterns. The directions are easy to follow and clear. As a new quilter I even started out with a harder quilt block (the farmhouse) but was able to successfully construct it. The patterns included in this book make me so happy! I'm inspired to create every time I open it!",5.0
"I love it, yet haven't been able to use it yet, but am so looking forward to making my own version - so many ideas!",5.0
