Review,Rating
"I've read this book already and I've got plans for using it in future projects.  I'm DELIGHTED with the patterns in it and the advice and suggestions are just as good as you would expect from Melissa Leapman.  I'm so glad that I bought this.  As a lifelong and addicted knitter, this has been a valuable addition to my already good sized book collection.  Thanks Melissa for this very special knitting treat.",5.0
Nicely written directions.,5.0
"Good additional knitting reference to have available in an electronic format.  I like that it is easy to jump from one bit of information to another, since I was not sure if all the links to topics would be available in a Kindle format.",5.0
"A gazillion pattern stitches, lucidly explained. Illustrations for each one on the same page as its instructions. A very thorough guide to basic techniques in an appendix. You won't get full patterns here, but the stitches are easily adapted to straightforward knitting projects on both straight and circular needles. A very useful book.",5.0
"The best knitting  instruction book I own in my extensive  collection  of books  on this craft.!
Thank you  very much.",5.0
"This book is a most have, if you are serious about knitting. The instructions are complete. As the subtitle specify, is an essential collection. Love every page. Thanks for a well done collection.",5.0
excellent variety - easy instructions,5.0
Another winner M. leapman,5.0
Love all the patterns in this book.  Made a scarf with one of the patterns.,5.0
"Super useful for designers.
I felt it complemented the Vogue Stitchionary well by having a lot in here that isn't in those volumes.  I actually like this even one better overall.",5.0
Loved it. Different than the usual squares.,5.0
Awesome book!!! A must have!,5.0
Lots of stitches.,5.0
"Easy to follow along, well written and written from the perspective of the knitter not the author.",5.0
